order_id,customer_id,restaurant_id,order_timestamp,order_amount,discount_amount,delivery_fee,payment_mode,order_status,revenue,year,month
O000001,C03175,R0115,2025-09-28,1079.36,107.94,39,Cash,Refunded,1010.42,2025,September
O000002,C02432,R0077,2024-02-13,1499.63,149.96,42,Card,Delivered,1391.67,2024,February
O000003,C01133,R0131,2024-03-07,597.18,59.72,22,Cash,Delivered,559.46,2024,March
O000004,C04813,R0109,2025-01-27,1257.48,125.75,53,Wallet,Delivered,1184.73,2025,January
O000005,C04948,R0001,2024-10-25,1010.57,0,28,Wallet,Delivered,1038.57,2024,October
O000006,C01825,R0110,2025-11-05,1211.84,121.18,27,UPI,Refunded,1117.66,2025,November
O000007,C03728,R0066,2024-05-22,697.48,69.75,56,UPI,Cancelled,683.73,2024,May
O000008,C04022,R0070,2024-04-13,348.11,0,34,UPI,Cancelled,382.11,2024,April
O000009,C01287,R0097,2026-02-15,671.58,0,59,UPI,Delivered,730.58,2026,February
O000010,C03543,R0033,2025-12-02,825.79,0,40,UPI,Delivered,865.79,2025,December
O000011,C01535,R0116,2025-05-06,1043.57,0,30,UPI,Delivered,1073.57,2025,May
O000012,C00730,R0137,2024-01-25,741.62,0,34,Cash,Cancelled,775.62,2024,January
O000013,C02991,R0068,2024-03-27,759.12,75.91,55,UPI,Delivered,738.21,2024,March
O000014,C02158,R0144,2025-05-17,533.36,0,47,Card,Cancelled,580.36,2025,May
O000015,C00536,R0078,2025-05-22,411.96,41.2,39,UPI,Refunded,409.76,2025,May
O000016,C03438,R0183,2025-11-02,642.6,0,25,Wallet,Delivered,667.6,2025,November
O000017,C00465,R0169,2025-01-30,523.91,0,53,Cash,Cancelled,576.91,2025,January
O000018,C03813,R0179,2025-07-09,1436.69,0,25,Card,Refunded,1461.69,2025,July
O000019,C02596,R0192,2024-02-21,1458.62,145.86,36,UPI,Refunded,1348.76,2024,February
O000020,C04391,R0187,2025-01-14,1388.36,0,36,UPI,Delivered,1424.36,2025,January
O000021,C01457,R0194,2026-03-29,809.96,0,56,UPI,Delivered,865.96,2026,March
O000022,C01354,R0117,2024-07-27,1122.3,0,59,UPI,Delivered,1181.3,2024,July
O000023,C00330,R0159,2024-12-23,1245.68,124.57,29,Wallet,Cancelled,1150.11,2024,December
O000024,C03256,R0028,2025-12-07,1385.83,0,47,UPI,Delivered,1432.83,2025,December
O000025,C01970,R0181,2024-01-28,1463.95,0,30,Wallet,Delivered,1493.95,2024,January
O000026,C03354,R0014,2026-04-22,1371.73,0,34,Card,Refunded,1405.73,2026,April
O000027,C03809,R0025,2024-11-30,1399.48,0,57,Card,Refunded,1456.48,2024,November
O000028,C01688,R0127,2025-09-04,1039.36,103.94,33,UPI,Delivered,968.42,2025,September
O000029,C04993,R0088,2025-04-29,375.98,0,21,UPI,Delivered,396.98,2025,April
O000030,C02395,R0102,2025-10-05,1494.37,0,36,UPI,Delivered,1530.37,2025,October
O000031,C01417,R0006,2025-08-08,832.19,83.22,23,Cash,Refunded,771.97,2025,August
O000032,C03156,R0077,2024-02-11,952.83,95.28,22,Wallet,Cancelled,879.55,2024,February
O000033,C04912,R0008,2026-03-15,1016.04,101.6,42,UPI,Delivered,956.44,2026,March
O000034,C00772,R0123,2024-12-03,420.59,0,34,UPI,Delivered,454.59,2024,December
O000035,C00181,R0111,2024-11-16,1088.19,0,27,Card,Delivered,1115.19,2024,November
O000036,C02217,R0200,2025-01-28,1468.44,146.84,60,Cash,Delivered,1381.6,2025,January
O000037,C00747,R0063,2024-04-04,1429.36,142.94,28,UPI,Refunded,1314.42,2024,April
O000038,C02981,R0180,2024-10-05,814.98,0,52,UPI,Refunded,866.98,2024,October
O000039,C00999,R0074,2024-05-31,1276.79,0,54,Card,Cancelled,1330.79,2024,May
O000040,C03926,R0132,2025-02-05,754.69,0,52,Wallet,Delivered,806.69,2025,February
O000041,C01593,R0090,2024-01-04,1047.87,104.79,24,Card,Refunded,967.08,2024,January
O000042,C01264,R0134,2025-07-14,537.96,0,53,Wallet,Refunded,590.96,2025,July
O000043,C03866,R0007,2025-06-30,1005.71,100.57,29,UPI,Cancelled,934.14,2025,June
O000044,C01894,R0154,2024-04-30,443.6,0,50,UPI,Delivered,493.6,2024,April
O000045,C04782,R0017,2025-03-22,309.8,30.98,46,Cash,Cancelled,324.82,2025,March
O000046,C02148,R0066,2024-02-19,849.15,0,53,UPI,Delivered,902.15,2024,February
O000047,C02632,R0159,2024-03-22,1242.26,124.23,22,Cash,Delivered,1140.03,2024,March
O000048,C00639,R0139,2024-09-06,674.9,67.49,45,Wallet,Delivered,652.41,2024,September
O000049,C03795,R0046,2024-12-07,341.78,0,41,Wallet,Delivered,382.78,2024,December
O000050,C01610,R0105,2026-02-09,518.54,51.85,56,UPI,Delivered,522.69,2026,February
O000051,C02067,R0016,2025-02-18,896.63,0,35,UPI,Cancelled,931.63,2025,February
O000052,C04069,R0091,2025-09-23,1320.9,0,51,UPI,Cancelled,1371.9,2025,September
O000053,C04106,R0110,2024-12-05,1230.92,123.09,29,UPI,Delivered,1136.83,2024,December
